sentence,word_labels,rule_attribute,missing_words,attr_words
"In Canada , the national conviction rate is about 97 %","O,B-ent,O,O,B-attr,I-attr,I-attr,O,O,B-qty,I-qty",national conviction rate, <EOS>,"['national', 'conviction', 'rate']"
"The base is now being developed at Rambilli , which is 50 km from Visakhapatnam","O,O,O,O,O,O,O,B-ent,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from Visakhapatnam,distance <EOS>,"['from', 'Visakhapatnam']"
The race started in Ghent and finished in Wetteren - covering 230 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['covering']
The race started in Ghent and finished in Wetteren - covering 242 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['covering']
The race started in Ghent and finished in Wetteren - totaling 227 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
The race started in Ghent and finished in Wetteren - totaling 238 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
The race started in Ghent and finished in Wetteren - totaling 253 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
The race started in Ghent and finished in Wetteren - totaling 255 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
The race started in Ghent and finished in Wetteren - totaling 257 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
The race started in Ghent and finished in Wetteren - totaling 258 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
The race started in Ghent and finished in Wetteren - totaling 260 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
The race started in Ghent and finished in Wetteren - totaling 263 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
The race started in Ghent and finished in Wetteren - totaling 274 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
The race started in Ghent and finished in Wetteren - totaling 275 km,"O,B-ent,O,O,O,O,O,O,O,O,B-attr,B-qty,I-qty",length,length <EOS>,['totaling']
Mollis has an unemployment rate of 0.98 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
At the time of foaling Bois Roussel Plucky Liege was 23 years old,"O,O,O,O,O,B-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty,O",age,age <EOS>,[]
"Bancroft recorded three 10 "" discs for the Gramophone Company in June 1903","B-ent,B-attr,O,B-qty,I-qty,B-attr,O,O,O,O,O,O,O",discs diameter,diameter <EOS>,"['recorded', 'discs']"
Vice President George H. W. Bush received 14.3 % of the vote,"B-ent,I-ent,I-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr",percentage of vote received,percentage <EOS>,"['received', 'the', 'vote']"
The International Diabetes Federation ( IDF ) identified 31 % of Nauruans as diabetic,"O,B-ent,I-ent,I-ent,O,O,O,B-attr,B-qty,I-qty,O,I-attr,O,I-attr",percentage of Nauruans diabetic,percentage <EOS>,"['identified', 'Nauruans', 'diabetic']"
The Master of Commerce typically requires two years of full - time study,"O,O,O,B-ent,O,B-attr,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr",duration full - time study,duration <EOS>,"['requires', 'full', '-', 'time', 'study']"
Hinduism in Pakistan Hindus comprise approximately 1.92 % of Pakistan 's population,"O,O,B-ent,I-ent,B-attr,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr",percentage of Pakistan 's population,percentage <EOS>,"['comprise', 'of', 'Pakistan', ""'s"", 'population']"
The journey from Borneo to Java took five days,"O,B-attr,O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty",journey took, <EOS>,"['journey', 'took']"
"Tom Harmon netted 852 yards , slightly better than Westfall who netted 808 rushing yards","B-ent,I-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O",netted yards, <EOS>,['netted']
"Fukche airport is 24 km away , and Ukdungle town is close by","B-ent,I-ent,O,B-qty,I-qty,O,O,O,O,O,O,O,O",distance,distance <EOS>,[]
"The body size of living specimens of "" Pseudunela viatoris "" is 3-4 mm","O,B-attr,I-attr,O,O,O,O,O,B-ent,I-ent,O,O,B-qty,I-qty",body size, <EOS>,"['body', 'size']"
", Biezwil had an unemployment rate of 1.7 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Yeast Hsp90 is 60 % identical to human Hsp90α,"B-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr",percentage identical to human Hsp90α,percentage <EOS>,"['identical', 'to', 'human', 'Hsp90α']"
The Ramlila Maidan was booked for 40 days to allow the protest to happen,"O,B-ent,I-ent,O,B-attr,O,B-qty,I-qty,O,O,O,O,O,O",duration booked,duration <EOS>,['booked']
Shustir passes 100 percent of that revenue through to premium storefront owners,"B-ent,B-attr,B-qty,I-qty,O,B-attr,I-attr,O,O,O,O,O",revenue passed,passed <EOS>,"['passes', 'that', 'revenue']"
RAI has the largest audience share ( 45 % ) of any Italian television network,"B-ent,O,O,B-attr,I-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O,O",largest audience share, <EOS>,"['largest', 'audience', 'share']"
"Like these designs , it mounts the Royal Ordnance L7 rifled 105 mm gun","O,O,O,O,O,O,B-ent,I-ent,I-ent,I-ent,B-attr,B-qty,I-qty,B-attr",rifled gun, <EOS>,"['rifled', 'gun']"
"The DNV Foundation owns 63.5 % of DNV GL , while Mayfair owns 36.5 %","B-ent,I-ent,I-ent,O,B-qty,I-qty,O,B-attr,I-attr,O,O,O,O,O,B-qty",DNV GL share,share <EOS>,"['DNV', 'GL']"
Paravankunnu is 5 km from the city centre,"B-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr",distance from the city centre,distance <EOS>,"['from', 'the', 'city', 'centre']"
The gray coat color makes up about 3 % of Thoroughbreds,"O,B-ent,I-ent,I-ent,B-attr,O,O,B-qty,I-qty,B-attr,I-attr",percentage of Thoroughbreds,percentage <EOS>,"['makes', 'of', 'Thoroughbreds']"
"The Younger Dryas ice age lasted for about 1,200 years before the climate warmed again","O,B-ent,I-ent,I-ent,I-ent,B-attr,O,O,B-qty,I-qty,O,O,O,O,O",duration lasted,duration <EOS>,['lasted']
This child population figure of Supaul district is 16.38 % of total urban population,"O,B-attr,I-attr,O,O,B-ent,I-ent,O,B-qty,I-qty,O,O,O,O",percentage of child population,percentage <EOS>,"['child', 'population']"
", Trélex had an unemployment rate of 2.2 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Tibetan Mastiff is 24-28 inches tall ( at shoulder ) and weighs 140-180 pounds,"B-ent,I-ent,O,B-qty,I-qty,B-attr,O,O,O,O,O,O,O,O",height,height <EOS>,['tall']
", Gränichen had an unemployment rate of 1.54 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Most of Cetingrad 's population spent four years in exile,"O,O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,I-attr,I-attr",duration spent in exile,duration <EOS>,"['spent', 'in', 'exile']"
Chautauqua Airlines served the airport but ceased service less than a year later,"B-ent,I-ent,O,O,O,O,B-attr,I-attr,O,O,B-qty,I-qty,O",ceased service, <EOS>,"['ceased', 'service']"
", Dittingen had an unemployment rate of 1.14 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"Funkturm Berlin is a radio tower in Berlin , standing 150 meters tall","B-ent,I-ent,O,O,O,O,O,O,O,O,B-qty,I-qty,B-attr",height,height <EOS>,['tall']
The family later moved to Springburn when Michael was fourteen years old,"O,O,O,O,O,O,O,B-ent,O,B-qty,I-qty,O",age,age <EOS>,[]
"The first single "" Cheerleader "" was eight years in the making","O,B-ent,I-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty,O,O,B-attr",duration in making,duration <EOS>,['making']
Protestantism in the Philippines Protestant Christianity make up nearly 6 % of the Filipino population,"B-ent,O,O,O,O,O,B-attr,O,O,B-qty,I-qty,O,O,B-attr,I-attr",percentage of Filipino population,percentage <EOS>,"['make', 'Filipino', 'population']"
"On this occasion , Spirou 's weight is revealed to be 40.8 kg","O,O,O,O,B-ent,I-ent,B-attr,O,O,O,O,B-qty,I-qty",weight, <EOS>,['weight']
Todd claimed Arizona Interscholastic Association 100 meter state division I title,"B-ent,B-attr,O,O,O,B-qty,I-qty,B-attr,I-attr,O,O",claimed state division, <EOS>,"['claimed', 'state', 'division']"
Srinagar is about 24 km from the main Town,"B-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr",distance from the main Town,distance <EOS>,"['from', 'the', 'main', 'Town']"
Roi Et is 514 km from Bangkok,"B-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr",distance from Bangkok,distance <EOS>,"['from', 'Bangkok']"
The Giants got a Lawrence Tynes field goal and a 10-7 half time lead,"B-ent,I-ent,B-attr,O,O,O,O,O,O,O,B-qty,I-qty,I-qty,B-attr",got lead, <EOS>,"['got', 'lead']"
The planned Kannur International Airport is 35 km from Chemperi,"O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr",distance from chemperi,distance chemperi <EOS>,"['from', 'Chemperi']"
The upcoming Kannur International Airport is just 15 km away from Peravoor,"O,B-ent,I-ent,I-ent,I-ent,O,O,B-qty,I-qty,O,B-attr,I-attr",distance from Peravoor,distance <EOS>,"['from', 'Peravoor']"
The upcoming Kannur International Airport is just about 20 km away from Panoor,"O,B-ent,I-ent,I-ent,I-ent,O,O,O,B-qty,I-qty,O,B-attr,I-attr",distance,distance <EOS>,"['from', 'Panoor']"
Mumbai and northern Konkan regions experience cooler winters with minimum temperatures hovering around 12 °C,"B-ent,I-ent,I-ent,I-ent,I-ent,O,O,O,O,B-attr,I-attr,O,O,B-qty,I-qty",minimum temperatures, <EOS>,"['minimum', 'temperatures']"
Mel Anthony rushed for 121 yards and scored three touchdowns on 20 carries,"B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,O",rushed yards, <EOS>,['rushed']
"Collaborating with Star Wars , HELMZ released two 5 year anniversary models in different colors","O,O,O,O,O,B-ent,B-attr,O,B-qty,I-qty,B-attr,I-attr,O,O,O",released anniversary models, <EOS>,"['released', 'anniversary', 'models']"
The water level in Normandy Reservoir varies about 11 feet in a normal year,"O,B-attr,I-attr,O,B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O",water level varies, <EOS>,"['water', 'level', 'varies']"
Richterswil has an unemployment rate of 2.41 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"Adamawa covered 103,000 km² from Lake Chad to Banyo and was inhabited by 1,500,000 people","B-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O",area covered,area <EOS>,['covered']
"Foreign direct investment in Nuevo León was 1,213.1 million USD for 2005","B-attr,I-attr,I-attr,O,B-ent,I-ent,O,O,B-qty,O,O,O",foreign direct investment,foreign <EOS>,"['Foreign', 'direct', 'investment']"
Yeola is 35 kilometres from Shirdi and is 260 kilometres northeast of Mumbai,"B-ent,O,O,B-qty,O,O,O,O,I-qty,I-qty,B-attr,I-attr,I-attr",distance northeast of Mumbai,distance <EOS>,"['northeast', 'of', 'Mumbai']"
Chaubari is 12 km from Amalner on Amalner - Shindkheda Road,"B-ent,O,B-qty,I-qty,B-attr,I-attr,O,O,O,O,O",distance from amalner,distance amalner <EOS>,"['from', 'Amalner']"
Ebikon has an unemployment rate of 2.54 %,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Gandhara was ruled from Kabul by Shahi for next 200 years,"B-ent,O,B-attr,O,O,O,O,O,O,B-qty,I-qty",duration ruled,duration <EOS>,['ruled']
Romanians comprise 37 % of that district 's total population,"B-ent,B-attr,B-qty,I-qty,O,O,B-attr,O,I-attr,I-attr",percentage of district total population,percentage <EOS>,"['comprise', 'district', 'total', 'population']"
Hinchinbrook Island is about 20 km north of Ingham,"B-ent,I-ent,O,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance north of Ingham,distance <EOS>,"['north', 'of', 'Ingham']"
CLEVER measures only 1 meter wide and has a maximum speed of approximately 50 mph,"B-ent,O,O,O,O,O,O,O,O,B-attr,I-attr,O,O,B-qty,I-qty",maximum speed, <EOS>,"['maximum', 'speed']"
"Lysos Lysos () is a village in Cyprus , about 36 kilometres from Paphos","B-ent,I-ent,O,O,O,O,O,O,O,O,B-qty,I-qty,B-attr,I-attr",distance from paphos,distance paphos <EOS>,"['from', 'Paphos']"
"The centre was built in West Kildonan , Winnipeg upon 40 acres of land","O,B-ent,O,B-attr,O,O,O,O,O,O,B-qty,I-qty,O,B-attr",area built,area <EOS>,"['built', 'land']"
Distance to the municipality center Stepantsminda is 18 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 20 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 21 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 23 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 24 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 25 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 29 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 29.5 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 32 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 38 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 41 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 42 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 43 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Distance to the municipality center Stepantsminda is 44.5 km,"B-attr,O,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",distance,distance <EOS>,['Distance']
Stepantsminda 's average annual precipitation is 790 mm,"B-ent,I-ent,B-attr,I-attr,I-attr,O,B-qty,I-qty",average annual precipitation, <EOS>,"['average', 'annual', 'precipitation']"
The safe drinking water standard for RDX and TNT is 2 ppb,"O,B-attr,I-attr,I-attr,I-attr,O,B-ent,I-ent,I-ent,O,B-qty,I-qty",safe drinking water standard, <EOS>,"['safe', 'drinking', 'water', 'standard']"
The weight of an Ongole female is 432 to 455 kg,"O,B-attr,O,B-ent,I-ent,I-ent,O,B-qty,I-qty,I-qty,I-qty",weight, <EOS>,['weight']
"Salinas Victoria 's extension is 1,334.20 square kilometers","B-ent,I-ent,O,B-attr,O,O,B-qty,I-qty",extension area,area <EOS>,['extension']
At the time Sadiq Hussain Qureshi was only 20 years old,"O,O,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty,O",age,age <EOS>,[]
The European fire-bellied toad may live more than 10 years,"O,B-ent,I-ent,I-ent,O,B-attr,O,O,B-qty,I-qty",duration live,duration <EOS>,['live']
"Literacy rate of Kaldhari village was 71.93 % with 3,579 literates","O,B-attr,O,B-ent,I-ent,O,B-qty,I-qty,O,O,O",literacy rate,literacy <EOS>,['rate']
", Randogne had an unemployment rate of 4.7 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Filippo Brunelleschi decorated the front part with two busts of prophets ( 1401 ),"B-ent,I-ent,O,O,O,O,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
Bears running back Matt Forte rushed for 70 yards and caught 10 passes for 90,"O,O,O,B-ent,I-ent,B-attr,O,B-qty,I-qty,O,O,O,O,O,O",rushed yards, <EOS>,['rushed']
", Coinsins had an unemployment rate of 2.9 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
"At that time , Abraham Lincoln was 7 years of age","O,O,O,O,B-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr",age, <EOS>,"['of', 'age']"
Phillips Academy 's endowment stood at just over one billion dollars as of June 2017,"B-ent,O,O,B-attr,I-attr,O,O,O,B-qty,I-qty,I-qty,O,O,O,O",endowment amount stood,amount <EOS>,"['endowment', 'stood']"
Bhavnagar District covers an area of over 8334 km²,"B-ent,I-ent,O,O,B-attr,O,O,B-qty,O",area, <EOS>,['area']
Road Mahuva is approximately 95 km away from Bhavnagar and approximately 290 km from Ahmedabad,"B-ent,I-ent,O,O,B-qty,I-qty,I-attr,I-attr,O,O,O,O,O,O,O",distance from Bhavnagar,distance <EOS>,"['away', 'from']"
The shorter un-metalled road from Ukhrul to Nungshong is about 15 kilometers,"O,B-attr,I-attr,I-attr,O,B-ent,I-ent,I-ent,O,O,B-qty,I-qty",shorter un-metalled road length,length <EOS>,"['shorter', 'un-metalled', 'road']"
Jurong Port handles more than 90 % of cement throughput into Singapore,"B-ent,I-ent,O,O,O,B-qty,I-qty,O,B-attr,I-attr,O,I-attr",cement throughput into Singapore, <EOS>,"['cement', 'throughput', 'Singapore']"
Latisemin has a molecular weight of 24 kDa and consists of 217 amino acids,"B-ent,O,O,B-attr,I-attr,O,B-qty,O,O,O,O,O,O,O",molecular weight, <EOS>,"['molecular', 'weight']"
Sammanthurai Divisional Secretariat is situated at 19 km east of Ampara town,"B-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty,I-attr,I-attr,I-attr,I-attr",distance east of Ampara town,distance <EOS>,"['situated', 'east', 'of', 'Ampara', 'town']"
Nanjanapuram has a literacy rate of 88.85 % which is lower than TamilNadu average,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O,O",literacy rate, <EOS>,"['literacy', 'rate']"
The major Buddhist temple of Borobudur is about 4 km from the center of Mungkid,"O,B-ent,I-ent,I-ent,O,O,O,O,B-qty,I-qty,B-attr,I-attr,I-attr,I-attr,I-attr",distance from the center of Mungkid,distance <EOS>,"['from', 'the', 'center', 'of', 'Mungkid']"
Crop damage in the Coachella Valley reached 75 %,"B-attr,I-attr,O,O,B-ent,I-ent,B-attr,B-qty,I-qty",crop damage reached,crop <EOS>,"['Crop', 'damage', 'reached']"
"The eastern Coachella Valley can receive Mexican television from Mexicali , 90 miles away","B-ent,I-ent,I-ent,I-ent,O,B-attr,O,I-attr,O,I-attr,I-attr,B-qty,I-qty,O",distance from Mexicali,distance <EOS>,"['receive', 'television', 'Mexicali', ',']"
", Loveresse had an unemployment rate of 0.83 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Each year the beach at Border Field State Park is closed for 233 days,"O,O,O,B-attr,O,B-ent,I-ent,I-ent,I-ent,O,B-attr,O,B-qty,I-qty",beach closed duration,duration <EOS>,"['beach', 'closed']"
Going up on the Platthorn takes about 30 minutes,"O,O,O,O,B-ent,B-attr,O,B-qty,I-qty",duration takes,duration <EOS>,['takes']
"The threshold in Victoria , Western Australia and the Australian Capital Territory is 4 %","O,B-attr,O,B-ent,I-ent,I-ent,I-ent,I-ent,I-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty",threshold, <EOS>,['threshold']
Eurex Zürich AG controls 62.91 % voting share and 75.05 % stock share,"B-ent,I-ent,I-ent,B-attr,O,O,O,B-attr,O,B-qty,I-qty,B-attr,I-attr",controls stock share, <EOS>,"['controls', 'share', 'stock', 'share']"
Thames Water leaked 25.1 % of supply,"B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr",leaked  supply, <EOS>,"['leaked', 'supply']"
"Jishou has a history of more than 2,000 years dating back to the Qin dynasty","B-ent,O,O,B-attr,O,O,O,B-qty,I-qty,O,O,O,O,O,O",history, <EOS>,['history']
"The nearest airport , Rajkot , is about 100 km away from the port","O,B-ent,I-ent,O,B-ent,O,O,O,B-qty,I-qty,O,O,I-attr,I-attr",distance from the port,distance <EOS>,"['the', 'port']"
"Tongans , a Polynesians group represent more than 98 % of the inhabitants","O,O,O,B-ent,I-ent,B-attr,O,O,B-qty,I-qty,O,O,B-attr",inhabitants represent, <EOS>,"['represent', 'inhabitants']"
The ATV can carry up to 7.6 metric tons with a suitable launcher,"O,B-ent,O,B-attr,O,O,B-qty,I-qty,I-qty,O,O,O,O",carry mass,mass <EOS>,['carry']
Elan Austria had liabilities of 8.7 million euro and assets of 6.5 million euro,"B-ent,I-ent,O,B-attr,O,B-qty,I-qty,I-qty,O,O,O,O,O,O",liabilities amount,amount <EOS>,['liabilities']
"Sonja owned 75 % of the bank , and Bank Austria owned the balance","B-ent,O,B-qty,I-qty,O,O,B-attr,O,O,O,O,O,O,O",bank share,share <EOS>,['bank']
The percentage of licence evaders in Austria amounts to 2.5 %,"O,B-attr,I-attr,I-attr,I-attr,O,B-ent,B-attr,O,B-qty,I-qty",percentage of licence evaders, <EOS>,"['percentage', 'of', 'licence', 'evaders', 'amounts']"
Exetel donate up to 33 % of profits to these projects,"B-ent,B-attr,O,O,B-qty,I-qty,O,B-attr,O,I-attr,I-attr",donate profits to these projects, <EOS>,"['donate', 'profits', 'these', 'projects']"
Katni is 48 km away,"B-ent,O,B-qty,I-qty,O",distance,distance <EOS>,[]
The nearest district headquarters of Katni is 50 KM away from Raipura,"O,B-ent,I-ent,I-ent,I-ent,I-ent,O,B-qty,I-qty,O,I-attr,I-attr",distance from Raipura,distance <EOS>,"['from', 'Raipura']"
", Ponte Capriasca had an unemployment rate of 3.18 %","O,B-ent,I-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Vancouver 's Atomic Cartoons created the 3 D animation for the series,"B-ent,I-ent,I-ent,I-ent,B-attr,O,B-qty,O,B-attr,O,O,O",dimesion,dimesion <EOS>,"['created', 'animation']"
The number of Blimpie locations declined by over 60 % through 2011,"O,B-attr,O,B-ent,I-ent,B-attr,O,O,B-qty,I-qty,O,O",number declined, <EOS>,"['number', 'declined']"
"As a result , Rollei 's turnover declined by 20 % from March 1981","O,O,O,O,O,O,B-attr,I-attr,O,B-qty,I-qty,O,I-attr,I-attr",turnover declined from March 1981, <EOS>,"['turnover', 'declined', 'March', '1981']"
The estimated value of Rollei 's unsold inventory was put at about 100 million DM,"O,O,O,O,B-ent,O,B-attr,I-attr,O,I-attr,O,O,B-qty,I-qty,I-qty",unsold inventory amount,amount <EOS>,"['unsold', 'inventory', 'put']"
The film runs 45 minutes and features Mary Brian in the supporting cast,"O,B-ent,B-attr,B-qty,I-qty,O,O,O,O,O,O,O,O",duration runs,duration <EOS>,['runs']
The distance from the border to Barquisimeto is about 16 km,"O,B-attr,I-attr,I-attr,I-attr,O,B-ent,O,O,B-qty,I-qty",distance from the border, <EOS>,"['distance', 'from', 'the', 'border']"
"The process is presented in ATC - 65 "" The ATCRBS Mode of DABS ""","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
"The nearest town , Chepelare , is 15 kilometers away","O,B-ent,I-ent,O,I-ent,O,O,B-qty,I-qty,O",distance,distance <EOS>,[]
"In the mid 1990 s Incat built three "" K class "" ferries","O,O,O,O,O,B-ent,B-attr,B-qty,O,B-attr,I-attr,O,B-attr",number of K class ferries,number of <EOS>,"['built', 'K', 'class', 'ferries']"
"Croatian territory under Habsburg rule was 25 years later reduced to about 20,000 km²","B-ent,I-ent,O,O,O,O,O,O,O,B-attr,O,O,B-qty,I-qty",area reduced,area <EOS>,['reduced']
", Schönholzerswilen had an unemployment rate of 0.99 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
NPL candidate Armah Jallah won 0.4 % of the vote in the presidential poll,"B-ent,I-ent,O,O,B-attr,B-qty,I-qty,O,O,B-attr,I-attr,I-attr,I-attr,I-attr",vote won in the presidential poll, <EOS>,"['won', 'vote', 'in', 'the', 'presidential', 'poll']"
No one may have more than one Real ID at one time,"O,O,O,O,O,O,O,O,O,O,O,O",UNKNOWN,UNKNOWN <EOS>,[]
""" Ferugliotherium "" is estimated to have weighed 70 g ( 2.5 oz )","O,B-ent,O,O,O,O,O,B-attr,B-qty,I-qty,O,O,O,O",weighed, <EOS>,['weighed']
Time Warner acquired 100 % of Shed and renamed the group Warner Bros,"B-ent,I-ent,B-attr,B-qty,I-qty,O,B-attr,O,O,O,O,O,O",Shed acquired, <EOS>,"['acquired', 'Shed']"
The destination is one day travel from Yanbu and 7 days from Madinah,"O,B-ent,O,O,O,O,O,O,O,B-qty,I-qty,O,O",duration,duration <EOS>,[]
The elevation of Safidon is about 221 m ( 725 ft ) above sea level,"O,B-attr,O,B-ent,O,O,B-qty,I-qty,O,O,O,O,I-attr,I-attr,I-attr",elevation above sea level, <EOS>,"['elevation', 'above', 'sea', 'level']"
The total literacy rate of Safidon Tehsil is 73.04 %,"O,B-attr,I-attr,I-attr,O,B-ent,I-ent,O,B-qty,I-qty",total literacy rate, <EOS>,"['total', 'literacy', 'rate']"
"Sherwan is 5,000 ft high in the centre of Tanawal","B-ent,O,B-qty,I-qty,B-attr,O,O,O,O,O",height,height <EOS>,['high']
The Acoma Massacre started the next day and lasted for three days,"O,B-ent,O,O,O,O,O,O,B-attr,O,B-qty,I-qty",duration lasted,duration <EOS>,['lasted']
", Ligornetto had an unemployment rate of 3.17 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
Sonia O'Sullivan won the race inside 33 minutes and 7 seconds,"B-ent,I-ent,B-attr,O,I-attr,O,B-qty,I-qty,O,O,O",won race, <EOS>,"['won', 'race']"
Hinksey Stream is 4.2 km long,"B-ent,I-ent,O,B-qty,I-qty,O",length,length <EOS>,[]
"She began training with a coach in Pietermaritzburg , 90 km away from Durban","O,O,O,O,O,O,O,B-ent,O,B-qty,I-qty,O,I-attr,I-attr",distance from Durban,distance <EOS>,"['from', 'Durban']"
The nearest international airport is Jaipur International Airport situated 250 km away from Kota,"O,O,O,O,O,B-ent,I-ent,I-ent,B-attr,B-qty,I-qty,O,I-attr,I-attr",distance from Kota,distance <EOS>,"['situated', 'from', 'Kota']"
", Meride had an unemployment rate of 2.86 %","O,B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty",unemployment rate, <EOS>,"['unemployment', 'rate']"
